date,sentiment
2020-03-22,-11572
2020-03-23,-12440
2020-03-24,-12093
2020-03-25,-26203
2020-03-26,-19930
2020-03-27,-24881
2020-03-28,-17506
2020-03-29,-7942
2020-03-30,-9574
2020-03-31,-14690
2020-04-01,-12688
2020-04-02,-10615
2020-04-03,-3495
2020-04-04,-10750
2020-04-05,-20084
2020-04-06,-8640
2020-04-07,-13090
2020-04-08,-13485
2020-04-09,-13328
2020-04-10,-14354
2020-04-11,-15348
2020-04-12,-8943
2020-04-13,-6095
2020-04-14,-465
2020-04-15,-9647
2020-04-16,-13526
2020-04-17,-11429
2020-04-18,-14490
2020-04-19,-14191
2020-04-20,-18643
2020-04-21,-21163
2020-04-22,-14730
2020-04-23,-10895
2020-04-24,-8893
2020-04-25,-20323
2020-04-26,-20654
2020-04-27,-17189
2020-04-28,-23141
2020-04-29,-18109
2020-04-30,-16821
2020-05-01,-11964
2020-05-02,-16772
2020-05-03,-42946
2020-05-04,-43170
2020-05-05,-18407
2020-05-06,-17951
2020-05-07,-28377
2020-05-08,-32705
2020-05-09,-35320
2020-05-10,-23899
2020-05-11,-22796
2020-05-12,-18308
2020-05-13,-12418
2020-05-14,-15766
2020-05-15,-2623
2020-05-16,-11175
2020-05-17,-11678
2020-05-18,-14495
2020-05-19,-21750
2020-05-21,-22246
2020-05-22,-23168
2020-05-23,-32000
2020-05-24,-27028
2020-05-25,-24071
2020-05-26,-24286
2020-05-27,-23644
2020-05-28,-14750
2020-05-29,-16323
2020-05-30,-20536
2020-05-31,-13256
2020-06-01,-10915
2020-06-02,-15482
2020-06-03,-21666
2020-06-04,-26253
2020-06-05,-17943
2020-06-06,-13789
2020-06-07,-17896
2020-06-08,-16427
2020-06-09,-19791
2020-06-10,-23103
2020-06-11,-28013
2020-06-12,-22861
2020-06-13,-18764
2020-06-14,-17938
2020-06-15,-27521
2020-06-16,-27623
2020-06-17,-27079
2020-06-18,-30073
2020-06-19,-32335
2020-06-20,-54166
2020-06-21,-37089
2020-06-22,-39224
2020-06-23,-46998
2020-06-24,-32319
2020-06-25,-31917
2020-06-26,-43307
2020-06-27,-40122
2020-06-28,-31395
2020-06-29,-29396
2020-06-30,-31188
2020-07-01,-40070
2020-07-02,-47649
2020-07-03,-31934
2020-07-04,-34070
2020-07-05,-35758
2020-07-06,-40966
2020-07-07,-48728
2020-07-08,-40496
2020-07-09,-33216
2020-07-10,-31607
2020-07-11,-35312
2020-07-12,-38900
2020-07-13,-40094
2020-07-14,-28202
2020-07-15,-31661
2020-07-16,-37801
2020-07-17,-69406
2020-07-18,-29810
2020-07-19,-33224
2020-07-20,-23497
2020-07-21,-30731
2020-07-22,-29174
2020-07-23,-27899
2020-07-24,-20412
2020-07-25,-19872
2020-07-26,-18322
2020-07-27,-33379
2020-07-28,-25456
2020-07-29,-36098
2020-07-30,-34524
2020-07-31,-28998
2020-08-01,-28714
2020-08-02,-32335
2020-08-03,-30074
2020-08-04,-26402
2020-08-05,-25429
2020-08-06,-33409
2020-08-07,-23833
2020-08-08,-12758
2020-08-09,-18033
2020-08-10,-34038
2020-08-11,-24135
2020-08-12,-17206
2020-08-13,-22187
2020-08-14,-16692
2020-08-15,-14449
2020-08-16,-19115
2020-08-17,-20330
2020-08-18,-21518
2020-08-19,-20674
2020-08-20,-17701
2020-08-21,-17609
2020-08-22,-15916
2020-08-23,-11432
2020-08-24,-26665
2020-08-25,-22641
2020-08-26,-16946
2020-08-27,-20699
2020-08-28,-22461
2020-08-29,-20875
2020-08-30,-26108
2020-08-31,-26068
2020-09-01,-18561
2020-09-02,-28090
2020-09-03,-28342
2020-09-04,-27828
2020-09-05,-19060
2020-09-06,-19671
2020-09-07,-23896
2020-09-08,-18168
2020-09-09,-24387
2020-09-10,-16472
2020-09-11,-21233
2020-09-12,-17930
2020-09-13,-15497
2020-09-14,-19151
2020-09-15,-15664
2020-09-16,-17821
2020-09-17,-16582
2020-09-18,-20557
2020-09-19,-9437
2020-09-20,-12403
2020-09-21,-26703
2020-09-22,-19998
2020-09-23,-21256
2020-09-24,-21932
2020-09-25,-11332
2020-09-26,-8931
2020-09-27,-8673
2020-09-28,-16037
2020-09-29,-17468
2020-09-30,-11071
2020-10-01,-26783
2020-10-02,-114891
2020-10-03,-55146
2020-10-04,-5397
2020-10-05,-13463
2020-10-06,-23454
2020-10-07,-25481
2020-10-08,-21523
2020-10-09,-13803
2020-10-10,-13314
2020-10-11,-9769
2020-10-12,-21668